BG2,X,Force,1000000
BG3,Y,Force,1000000
BG4,Z,Force,-1000000
BG7,X,Force,1
BG7,Y,Force,-1224690
BG7,Z,Force,-1210900
BG8,X,Force,1
BG8,Y,Force,-406200
BG8,Z,Force,-2026000
BG9,X,Force,1
BG9,Y,Force,196900
BG9,Z,Force,-1029300
BG10,X,Force,1
BG10,Y,Force,-191500
BG10,Z,Force,-2519900
BG11,X,Force,1
BG11,Y,Force,-150600
BG11,Z,Force,-1503800
BG12,X,Force,1
BG12,Y,Force,147900
BG12,Z,Force,-2098700
BG17,X,Force,1
BG17,Y,Force,280000
BG17,Z,Force,-1224300
BG18,X,Force,1
BG18,Y,Force,-282400
BG18,Z,Force,-1458100
BG19,X,Force,1
BG19,Y,Force,140200
BG19,Z,Force,-1088100
BG20,X,Force,1
BG20,Y,Force,-137300
BG20,Z,Force,-1835000
BG21,X,Force,1
BG21,Y,Force,-113700
BG21,Z,Force,-1445500
BG22,X,Force,1
BG22,Y,Force,111300
BG22,Z,Force,-1526500
BG40,X,Force,320000
BG41,X,Force,-320000
BG42,X,Force,150000
BG43,X,Force,-150000
BG13,Z,Force,-1211200
BG14,Z,Force,-2026000
BG13,X,Force,1
BG14,X,Force,1
BG13,Y,Force,371100
BG14,Y,Force,-373600
BG23,Y,Force,258300
BG23,Z,Force,-1224500
BG24,Z,Force,-1458200
BG24,Y,Force,-260600.00000000003
BG23,X,Force,1
BG24,X,Force,1
BG46,X,Force,150000
BG47,X,Force,-150000
BG48,X,Force,1
BG48,Y,Force,198800
BG48,Z,Force,-1220100
BG49,X,Force,1
BG49,Y,Force,-202000
BG49,Z,Force,-1327200
BG50,X,Force,1
BG50,Y,Force,115200
BG50,Z,Force,-1077600
BG51,X,Force,1
BG51,Y,Force,-117800
BG51,Z,Force,-1502800
BG52,X,Force,1
BG52,Y,Force,-73900
BG52,Z,Force,-1275000
BG53,X,Force,1
BG53,Y,Force,71300
BG53,Z,Force,-1354000
BG54,Y,Force,175800
BG54,Z,Force,-1220500
BG54,X,Force,1
BG55,Z,Force,-1327000
BG55,Y,Force,-178900
BG55,X,Force,1
BG56,X,Force,1
BG56,Y,Force,197500
BG56,Z,Force,-1029500
BG57,X,Force,1
BG57,Y,Force,-192100
BG57,Z,Force,-2519100
BG58,X,Force,1
BG58,Y,Force,-267000
BG58,Z,Force,-1504400
BG59,X,Force,1
BG59,Y,Force,264500
BG59,Z,Force,-2098400
BG60,Z,Force,1
BG60,X,Force,1
BG60,Y,Force,1
BG61,Z,Force,1
BG61,X,Force,1
BG61,Y,Force,1
BG62,X,Force,1
BG62,Y,Force,140600
BG62,Z,Force,-1088300
BG63,X,Force,1
BG63,Y,Force,-137700
BG63,Z,Force,-1834500
BG64,X,Force,1
BG64,Y,Force,-191000
BG64,Z,Force,-1446000
BG65,X,Force,1
BG65,Y,Force,188800
BG65,Z,Force,-1526200
BG66,Y,Force,1
BG66,Z,Force,1
BG66,X,Force,1
BG67,Z,Force,1
BG67,Y,Force,1
BG67,X,Force,1
BG68,X,Force,1
BG68,Y,Force,115300
BG68,Z,Force,-1077800
BG69,X,Force,1
BG69,Y,Force,-117700
BG69,Z,Force,-1502200
BG70,X,Force,1
BG70,Y,Force,-152000
BG70,Z,Force,-1275600
BG71,X,Force,1
BG71,Y,Force,149600
BG71,Z,Force,-1353700
BG72,Y,Force,1
BG72,Z,Force,1
BG72,X,Force,1
BG73,Z,Force,1
